frame,abstime,reltime,Function 1 [C]
0,2023-08-07 03:14:31.319000,0.000000,1.027957e+02
1,2023-08-07 03:14:32.677000,1.358000,1.026461e+02
2,2023-08-07 03:14:35.360000,4.041000,1.027209e+02
3,2023-08-07 03:14:37.368000,6.049000,1.026461e+02
4,2023-08-07 03:14:39.372000,8.053000,1.025712e+02
5,2023-08-07 03:14:41.378000,10.059000,1.026461e+02
6,2023-08-07 03:14:43.387000,12.068000,1.024963e+02
7,2023-08-07 03:14:45.391000,14.072000,1.025712e+02
8,2023-08-07 03:14:47.393000,16.074000,1.027957e+02
9,2023-08-07 03:14:49.392000,18.073000,1.024214e+02
10,2023-08-07 03:14:51.398000,20.079000,1.026461e+02
11,2023-08-07 03:14:53.405000,22.086000,1.028705e+02
12,2023-08-07 03:14:55.411000,24.092000,1.026461e+02
13,2023-08-07 03:14:57.418000,26.099000,1.026461e+02
14,2023-08-07 03:14:59.425000,28.106000,1.024214e+02
15,2023-08-07 03:15:01.432000,30.113000,1.022715e+02
16,2023-08-07 03:15:03.433000,32.114000,1.022715e+02
17,2023-08-07 03:15:05.434000,34.115000,1.023465e+02
18,2023-08-07 03:15:07.440000,36.121000,1.022715e+02
19,2023-08-07 03:15:09.446000,38.127000,1.022715e+02
20,2023-08-07 03:15:11.453000,40.134000,1.022715e+02
21,2023-08-07 03:15:13.460000,42.141000,1.024963e+02
22,2023-08-07 03:15:15.465000,44.146000,1.022715e+02
23,2023-08-07 03:15:17.460000,46.141000,1.022715e+02
24,2023-08-07 03:15:19.442000,48.123000,1.009921e+02
25,2023-08-07 03:15:21.446000,50.127000,1.015200e+02
26,2023-08-07 03:15:23.451000,52.132000,1.013693e+02
27,2023-08-07 03:15:25.456000,54.137000,1.015953e+02
28,2023-08-07 03:15:27.465000,56.146000,1.015200e+02
29,2023-08-07 03:15:29.469000,58.150000,1.012939e+02
30,2023-08-07 03:15:31.474000,60.155000,1.016705e+02
31,2023-08-07 03:15:33.490000,62.171000,1.012939e+02
32,2023-08-07 03:15:35.480000,64.161000,1.012939e+02
33,2023-08-07 03:15:37.483000,66.164000,1.014447e+02
34,2023-08-07 03:15:39.489000,68.170000,1.013693e+02
35,2023-08-07 03:15:41.496000,70.177000,1.016705e+02
36,2023-08-07 03:15:43.502000,72.183000,1.017458e+02
37,2023-08-07 03:15:45.507000,74.188000,1.012939e+02
38,2023-08-07 03:15:47.512000,76.193000,1.018210e+02
39,2023-08-07 03:15:49.528000,78.209000,1.017458e+02
40,2023-08-07 03:15:51.514000,80.195000,1.013693e+02
41,2023-08-07 03:15:53.520000,82.201000,1.015200e+02
42,2023-08-07 03:15:55.526000,84.207000,1.014447e+02
43,2023-08-07 03:15:57.533000,86.214000,1.014447e+02
44,2023-08-07 03:15:59.542000,88.223000,1.013693e+02
45,2023-08-07 03:16:01.543000,90.224000,1.012185e+02
46,2023-08-07 03:16:03.549000,92.230000,1.015200e+02
47,2023-08-07 03:16:05.479000,94.160000,1.018961e+02
48,2023-08-07 03:16:07.470000,96.151000,1.019713e+02
49,2023-08-07 03:16:09.471000,98.152000,1.019713e+02
50,2023-08-07 03:16:11.477000,100.158000,1.021215e+02
51,2023-08-07 03:16:13.483000,102.164000,1.016705e+02
52,2023-08-07 03:16:15.490000,104.171000,1.018210e+02
53,2023-08-07 03:16:17.494000,106.175000,1.018961e+02
54,2023-08-07 03:16:19.500000,108.181000,1.018961e+02
55,2023-08-07 03:16:21.503000,110.184000,1.016705e+02
56,2023-08-07 03:16:23.510000,112.191000,1.021965e+02
57,2023-08-07 03:16:25.516000,114.197000,1.017458e+02
58,2023-08-07 03:16:27.521000,116.202000,1.018210e+02
59,2023-08-07 03:16:29.524000,118.205000,1.018210e+02
60,2023-08-07 03:16:31.530000,120.211000,1.018961e+02
61,2023-08-07 03:16:33.537000,122.218000,1.023465e+02
62,2023-08-07 03:16:35.524000,124.205000,1.019713e+02
63,2023-08-07 03:16:37.529000,126.210000,1.021965e+02
64,2023-08-07 03:16:39.517000,128.198000,1.021215e+02
65,2023-08-07 03:16:41.539000,130.220000,1.021215e+02
