frame,abstime,reltime,Function 1 [C]
340,25:54.0,339.708,2.22E+02
341,25:55.0,340.709,2.21E+02
342,25:56.0,341.71,2.19E+02
343,25:57.0,342.711,2.15E+02
344,25:58.0,343.71,2.12E+02
345,25:59.0,344.712,2.10E+02
346,26:00.0,345.713,2.09E+02
347,26:01.0,346.714,2.08E+02
348,26:02.0,347.714,2.06E+02
349,26:03.0,348.715,2.05E+02
350,26:04.0,349.716,2.03E+02
351,26:05.0,350.717,2.02E+02
352,26:06.0,351.718,2.03E+02
353,26:06.2,351.949,2.01E+02
354,26:07.9,353.687,2.00E+02
355,26:08.9,354.689,1.99E+02
356,26:09.9,355.69,1.98E+02
357,26:10.9,356.691,1.97E+02
358,26:11.9,357.691,1.97E+02
359,26:12.9,358.692,1.95E+02
360,26:13.9,359.693,1.94E+02
361,26:14.9,360.694,1.94E+02
362,26:15.9,361.695,1.92E+02
363,26:16.9,362.695,1.91E+02
364,26:17.9,363.696,1.90E+02
365,26:18.9,364.697,1.89E+02
366,26:19.9,365.698,1.88E+02
367,26:20.9,366.699,1.87E+02
368,26:21.9,367.7,1.86E+02
369,26:22.9,368.701,1.85E+02
370,26:23.9,369.702,1.85E+02
371,26:24.9,370.669,1.84E+02
372,26:25.9,371.671,1.83E+02
373,26:26.9,372.671,1.82E+02
374,26:27.9,373.672,1.81E+02
375,26:28.9,374.673,1.80E+02
376,26:29.9,375.675,1.79E+02
377,26:30.9,376.675,1.78E+02
378,26:31.9,377.676,1.77E+02
379,26:32.9,378.676,1.76E+02
380,26:33.9,379.678,1.75E+02
381,26:34.9,380.679,1.74E+02
382,26:35.9,381.679,1.74E+02
383,26:36.9,382.679,1.73E+02
384,26:37.9,383.68,1.72E+02
385,26:38.9,384.682,1.72E+02
386,26:39.9,385.682,1.71E+02
387,26:40.9,386.683,1.70E+02
388,26:41.9,387.684,1.70E+02
389,26:42.9,388.686,1.69E+02
390,26:43.9,389.687,1.67E+02
391,26:44.9,390.688,1.67E+02
392,26:45.9,391.687,1.66E+02
393,26:46.9,392.689,1.65E+02
394,26:47.9,393.689,1.64E+02
395,26:48.9,394.691,1.63E+02
396,26:49.9,395.691,1.63E+02
397,26:50.9,396.692,1.62E+02
398,26:51.9,397.692,1.62E+02
399,26:52.1,397.891,1.62E+02
400,26:53.9,399.663,1.61E+02
401,26:54.9,400.663,1.60E+02
402,26:55.9,401.631,1.60E+02
403,26:56.9,402.633,1.59E+02
404,26:57.9,403.634,1.58E+02
405,26:58.9,404.633,1.58E+02
406,26:59.9,405.635,1.57E+02
407,27:00.9,406.635,1.56E+02
408,27:01.9,407.636,1.56E+02
409,27:02.9,408.638,1.55E+02
410,27:03.9,409.638,1.54E+02
411,27:04.9,410.639,1.54E+02
412,27:05.9,411.64,1.53E+02
413,27:06.9,412.641,1.53E+02
414,27:07.9,413.642,1.52E+02
415,27:08.9,414.642,1.51E+02
416,27:09.9,415.643,1.50E+02
417,27:10.9,416.645,1.50E+02
418,27:11.9,417.646,1.49E+02
419,27:12.9,418.647,1.49E+02
420,27:13.9,419.647,1.48E+02
421,27:14.9,420.648,1.48E+02
422,27:15.9,421.649,1.47E+02
423,27:16.9,422.65,1.47E+02
424,27:17.9,423.651,1.46E+02
425,27:18.9,424.651,1.45E+02
426,27:19.9,425.652,1.44E+02
427,27:20.9,426.653,1.44E+02
428,27:21.9,427.654,1.44E+02
429,27:22.9,428.655,1.43E+02
430,27:23.9,429.655,1.43E+02
431,27:24.9,430.656,1.42E+02
432,27:25.9,431.658,1.42E+02
433,27:26.9,432.658,1.41E+02
434,27:27.9,433.626,1.41E+02
435,27:28.9,434.628,1.41E+02
436,27:29.9,435.628,1.40E+02
437,27:30.9,436.629,1.40E+02
438,27:31.9,437.629,1.39E+02
439,27:32.9,438.63,1.39E+02
440,27:33.9,439.631,1.38E+02
441,27:34.9,440.632,1.38E+02
442,27:35.9,441.633,1.37E+02
443,27:36.9,442.634,1.37E+02
444,27:37.9,443.634,1.37E+02
445,27:38.1,443.833,1.36E+02
448,27:41.8,447.606,1.35E+02
449,27:42.9,448.607,1.34E+02
450,27:43.9,449.608,1.34E+02
451,27:44.9,450.61,1.34E+02
460,27:53.9,459.617,2.20E+02
461,27:54.9,460.617,2.19E+02
462,27:55.9,461.618,2.17E+02
463,27:56.9,462.619,2.14E+02
464,27:57.9,463.62,2.11E+02
465,27:58.8,464.588,2.09E+02
466,27:59.8,465.589,2.08E+02
467,28:00.8,466.589,2.07E+02
468,28:01.8,467.59,2.05E+02
469,28:02.8,468.592,2.04E+02
470,28:03.8,469.593,2.03E+02
471,28:04.8,470.594,2.03E+02
472,28:05.8,471.594,2.01E+02
473,28:06.8,472.595,2.01E+02
474,28:07.8,473.596,2.00E+02
475,28:08.8,474.597,1.99E+02
476,28:09.8,475.597,1.97E+02
477,28:10.8,476.598,1.96E+02
478,28:11.8,477.599,1.95E+02
479,28:12.8,478.599,1.95E+02
480,28:13.8,479.6,1.94E+02
481,28:14.8,480.602,1.93E+02
482,28:15.8,481.603,1.92E+02
483,28:16.8,482.603,1.91E+02
484,28:17.8,483.605,1.90E+02
485,28:18.8,484.606,1.89E+02
486,28:19.8,485.606,1.88E+02
487,28:20.9,486.607,1.87E+02
488,28:21.9,487.608,1.87E+02
489,28:22.9,488.609,1.86E+02
490,28:23.9,489.61,1.85E+02
491,28:24.0,489.774,1.85E+02
492,28:25.8,491.58,1.83E+02
493,28:26.8,492.581,1.83E+02
494,28:27.8,493.581,1.82E+02
495,28:28.8,494.583,1.81E+02
496,28:29.8,495.584,1.80E+02
497,28:30.8,496.551,1.79E+02
498,28:31.8,497.552,1.78E+02
499,28:32.8,498.553,1.77E+02
500,28:33.8,499.554,1.77E+02
501,28:34.8,500.555,1.76E+02
502,28:35.8,501.556,1.76E+02
503,28:36.8,502.556,1.75E+02
504,28:37.8,503.557,1.75E+02
505,28:38.8,504.558,1.74E+02
506,28:39.8,505.559,1.74E+02
507,28:40.8,506.56,1.73E+02
508,28:41.8,507.561,1.73E+02
509,28:42.8,508.561,1.72E+02
510,28:43.8,509.563,1.71E+02
511,28:44.8,510.563,1.70E+02
512,28:45.8,511.564,1.70E+02
513,28:46.8,512.565,1.69E+02
514,28:47.8,513.566,1.69E+02
515,28:48.8,514.567,1.68E+02
516,28:49.8,515.568,1.67E+02
517,28:50.8,516.569,1.67E+02
518,28:51.8,517.57,1.66E+02
519,28:52.8,518.57,1.65E+02
520,28:53.8,519.571,1.64E+02
521,28:54.8,520.573,1.64E+02
522,28:55.8,521.573,1.63E+02
523,28:56.8,522.573,1.63E+02
524,28:57.8,523.575,1.62E+02
525,28:58.8,524.575,1.61E+02
526,28:59.8,525.576,1.61E+02
527,29:00.8,526.578,1.60E+02
528,29:01.8,527.578,1.59E+02
529,29:02.8,528.547,1.59E+02
530,29:03.8,529.547,1.58E+02
531,29:04.8,530.547,1.58E+02
532,29:05.8,531.549,1.58E+02
533,29:06.8,532.549,1.57E+02
534,29:07.8,533.551,1.56E+02
535,29:08.8,534.551,1.55E+02
536,29:09.8,535.552,1.55E+02
537,29:10.0,535.716,1.54E+02
538,29:11.8,537.521,1.53E+02
539,29:12.8,538.523,1.53E+02
540,29:13.8,539.523,1.52E+02
541,29:14.8,540.524,1.51E+02
542,29:15.8,541.525,1.51E+02
543,29:16.8,542.527,1.51E+02
544,29:17.8,543.527,1.50E+02
545,29:18.8,544.529,1.50E+02
546,29:19.8,545.529,1.49E+02
547,29:20.8,546.53,1.49E+02
548,29:21.8,547.531,1.49E+02
549,29:22.8,548.532,1.49E+02
550,29:23.8,549.533,1.48E+02
551,29:24.8,550.533,1.48E+02
552,29:25.8,551.534,1.47E+02
553,29:26.8,552.535,1.47E+02
554,29:27.8,553.536,1.47E+02
555,29:28.8,554.536,1.46E+02
556,29:29.8,555.537,1.46E+02
557,29:30.8,556.538,1.45E+02
558,29:31.8,557.54,1.44E+02
559,29:32.8,558.507,1.44E+02
560,29:33.8,559.507,1.43E+02
561,29:34.8,560.509,1.43E+02
562,29:35.8,561.51,1.42E+02
563,29:36.8,562.51,1.42E+02
564,29:37.8,563.511,1.42E+02
565,29:38.8,564.512,1.41E+02
568,29:41.8,567.515,1.40E+02
569,29:42.8,568.516,1.40E+02
570,29:43.8,569.516,1.39E+02
571,29:44.8,570.517,1.39E+02
577,29:50.8,576.523,2.21E+02
580,29:53.8,579.525,2.17E+02
581,29:54.8,580.526,2.18E+02
582,29:55.8,581.528,2.15E+02
583,29:55.9,581.658,2.13E+02
584,29:57.7,583.497,2.09E+02
585,29:58.7,584.497,2.08E+02
586,29:59.7,585.498,2.05E+02
587,30:00.7,586.5,2.04E+02
588,30:01.7,587.5,2.03E+02
589,30:02.7,588.5,2.02E+02
590,30:03.7,589.502,2.01E+02
591,30:04.7,590.47,1.99E+02
592,30:05.7,591.47,1.98E+02
593,30:06.7,592.471,1.97E+02
594,30:07.7,593.472,1.96E+02
