frame,abstime,reltime,Function 1 [C]
698,31:51.6,29.961,2.18E+02
699,31:52.6,30.96,2.17E+02
700,31:53.6,31.962,2.15E+02
701,31:54.6,32.964,2.12E+02
702,31:55.6,33.965,2.08E+02
703,31:56.6,34.966,2.08E+02
704,31:57.6,35.966,2.06E+02
705,31:58.6,36.967,2.06E+02
706,31:59.6,37.968,2.04E+02
707,32:00.7,38.969,2.03E+02
708,32:01.7,39.97,2.02E+02
709,32:02.7,40.97,2.01E+02
710,32:03.7,41.971,1.99E+02
711,32:04.7,42.972,1.99E+02
712,32:05.7,43.972,1.98E+02
713,32:06.7,44.974,1.98E+02
714,32:07.7,45.975,1.97E+02
715,32:08.7,46.975,1.95E+02
716,32:09.7,47.978,1.95E+02
717,32:10.6,48.944,1.94E+02
718,32:11.6,49.945,1.93E+02
719,32:12.6,50.946,1.92E+02
720,32:13.6,51.947,1.92E+02
721,32:13.7,52.044,1.90E+02
722,32:15.6,53.916,1.90E+02
723,32:16.6,54.918,1.88E+02
724,32:17.6,55.918,1.88E+02
725,32:18.6,56.919,1.87E+02
726,32:19.6,57.92,1.87E+02
727,32:20.6,58.92,1.85E+02
728,32:21.6,59.921,1.85E+02
729,32:22.6,60.922,1.85E+02
730,32:23.6,61.924,1.84E+02
731,32:24.6,62.925,1.83E+02
732,32:25.6,63.925,1.83E+02
733,32:26.6,64.926,1.82E+02
734,32:27.6,65.927,1.81E+02
735,32:28.6,66.928,1.81E+02
736,32:29.6,67.928,1.80E+02
737,32:30.6,68.929,1.79E+02
738,32:31.6,69.93,1.79E+02
739,32:32.6,70.932,1.78E+02
740,32:33.6,71.933,1.78E+02
741,32:34.6,72.933,1.77E+02
742,32:35.6,73.934,1.76E+02
743,32:36.6,74.934,1.75E+02
744,32:37.6,75.936,1.75E+02
745,32:38.6,76.937,1.74E+02
746,32:39.6,77.937,1.74E+02
747,32:40.6,78.939,1.73E+02
748,32:41.6,79.939,1.72E+02
749,32:42.6,80.907,1.72E+02
750,32:43.6,81.908,1.71E+02
751,32:44.6,82.909,1.71E+02
752,32:45.6,83.91,1.70E+02
753,32:46.6,84.911,1.69E+02
754,32:47.6,85.912,1.69E+02
755,32:48.6,86.912,1.68E+02
756,32:49.6,87.913,1.67E+02
757,32:50.6,88.914,1.66E+02
758,32:51.6,89.915,1.66E+02
759,32:52.6,90.916,1.65E+02
760,32:53.6,91.916,1.64E+02
761,32:54.6,92.917,1.64E+02
762,32:55.6,93.917,1.63E+02
763,32:56.6,94.919,1.62E+02
764,32:57.6,95.92,1.62E+02
765,32:58.6,96.921,1.61E+02
766,32:59.6,97.922,1.61E+02
767,32:59.8,98.069,1.60E+02
768,33:01.6,99.892,1.59E+02
769,33:02.6,100.892,1.59E+02
770,33:03.6,101.894,1.58E+02
771,33:04.6,102.895,1.58E+02
772,33:05.6,103.895,1.57E+02
773,33:06.6,104.897,1.56E+02
774,33:07.6,105.897,1.56E+02
775,33:08.6,106.898,1.56E+02
776,33:09.6,107.899,1.55E+02
777,33:10.6,108.9,1.54E+02
778,33:11.6,109.9,1.54E+02
779,33:12.6,110.902,1.53E+02
780,33:13.6,111.903,1.53E+02
781,33:14.6,112.87,1.53E+02
782,33:15.6,113.871,1.52E+02
783,33:16.6,114.872,1.52E+02
784,33:17.6,115.874,1.52E+02
785,33:18.6,116.874,1.51E+02
786,33:19.6,117.875,1.51E+02
787,33:20.6,118.875,1.50E+02
788,33:21.6,119.877,1.49E+02
789,33:22.6,120.877,1.49E+02
790,33:23.6,121.878,1.49E+02
791,33:24.6,122.879,1.48E+02
792,33:25.6,123.879,1.49E+02
793,33:26.6,124.88,1.48E+02
794,33:27.6,125.882,1.48E+02
795,33:28.6,126.883,1.47E+02
796,33:29.6,127.883,1.47E+02
797,33:30.6,128.885,1.47E+02
798,33:31.6,129.885,1.46E+02
799,33:32.6,130.886,1.46E+02
800,33:33.6,131.888,1.46E+02
801,33:34.6,132.888,1.45E+02
802,33:35.6,133.888,1.45E+02
803,33:36.6,134.889,1.45E+02
804,33:37.6,135.89,1.45E+02
805,33:38.6,136.892,1.44E+02
806,33:39.6,137.892,1.44E+02
