frame,Function 2 [C]
0,198.0
1,196.51999917136186
2,195.06326756838587
3,193.6294393420452
4,192.21815439535277
5,190.82905829292497
6,189.46180217196772
7,188.1160426546616
8,186.79144176192466
9,185.48766682853113
10,184.20439041956462
11,182.94129024818483
12,181.6980490946874
13,180.47435472683594
14,179.26989982144698
15,178.0843818872077
16,176.91750318870712
17,175.76897067166152
18,174.63849588931606
19,173.52579493000286
20,172.43058834583852
21,171.35260108254244
22,170.29156241035872
23,169.24720585606417
24,168.219269136045
25,167.20749409042608
26,166.21162661823573
27,165.23141661358972
28,164.2666179028789
29,163.3169881829441
30,162.38228896022326
31,161.46228549085535
32,160.55674672172577
33,159.66544523243886
34,158.78815717820277
35,157.92466223361214
36,157.07474353731476
37,156.23818763754826
38,155.41478443853308
39,154.60432714770798
40,153.8066122237957
41,153.02143932568464
42,152.2486112621145
43,151.48793394215298
44,150.73921632645093
45,150.00227037926413
46,149.27691102122924
47,148.5629560828823
48,147.86022625890794
49,147.16854506310813
50,146.4877387840786
51,145.81763644158235
52,145.1580697436091
53,144.5088730441098
54,143.8698833013956
55,143.24094003719094
56,142.62188529633053
57,142.01256360708982
58,141.41282194213926
59,140.8225096801125
60,140.24147856777864
61,139.66958268280956
62,139.10667839713227
63,138.55262434085768
64,138.00728136677643
65,137.47051251541296
66,136.94218298062904
67,136.42216007576786
68,135.91031320033085
69,135.40651380717802
70,134.9106353702442
71,134.4225533527628
72,133.94214517598925
73,133.469290188416
74,133.00386963547172
75,132.54576662969683
76,132.0948661213879
77,131.6510548697037
78,131.21422141422545
79,130.7842560469642
80,130.36105078480838
81,129.94449934240453
82,129.53449710546437
83,129.13094110449165
84,128.73372998892185
85,128.3427640016688
86,127.95794495407117
87,127.5791762012331
88,127.2063626177524
89,126.83941057383038
90,126.47822791175734
91,126.12272392276773
92,125.77280932425921
93,125.42839623736992
94,125.08939816490815
95,124.75572996962924
96,124.42730785285379
97,124.10404933342222
98,123.78587322698012
99,123.47269962558927
100,123.16444987765931
101,122.86104656819484
102,122.5624134993532
103,122.26847567130778
104,121.97915926341234
105,121.69439161566137
106,121.41410121044201
107,121.13821765457287
108,120.86667166162518
109,120.59939503452193
110,120.33632064841069
111,120.07738243380551
112,119.82251535999406
113,119.57165541870552
114,119.32473960803534
115,119.08170591662272
116,118.8424933080768
117,118.60704170564776
118,118.37529197713893
119,118.14718592005615
120,117.92266624699049
121,117.70167657123096
122,117.48416139260331
123,117.27006608353146
124,117.05933687531822
125,116.85192084464154
126,116.64776590026317
127,116.4468207699463
128,116.24903498757882
129,116.05435888049911
130,115.862743557021
131,115.67414089415503
132,115.48850352552253
133,115.30578482946
134,115.12593891731021
135,114.94892062189768
136,114.77468548618522
137,114.60318975210869
138,114.4343903495876
139,114.26824488570823
140,114.10471163407696
141,113.94374952434092
142,113.78531813187342
143,113.62937766762161
144,113.47588896811368
145,113.32481348562314
146,113.17611327848792
147,113.02975100158143
148,112.88568989693368
149,112.74389378449968
150,112.60432705307304
151,112.46695465134248
152,112.33174207908887
153,112.19865537852078
154,112.06766112574613
155,111.93872642237797
156,111.81181888727238
157,111.68690664839598
158,111.56395833482162
159,111.44294306884964
160,111.32383045825327
161,111.20659058864562
162,111.0911940159671
163,110.97761175909054
164,110.8658152925428
165,110.75577653934093
166,110.64746786394053
167,110.54086206529556
168,110.43593237002672
169,110.33265242569763
170,110.23099629419653
171,110.13093844522207
172,110.03245374987159
173,109.9355174743301
174,109.84010527365857
175,109.74619318567979
176,109.65375762496052
177,109.5627753768881
178,109.47322359184021
179,109.3850797794464
180,109.29832180293972
181,109.21292787359725
182,109.12887654526799
183,109.04614670898671
184,108.96471758767275
185,108.8845687309118
186,108.80568000981998
187,108.72803161198865
188,108.65160403650856
189,108.57637808907234
190,108.50233487715401
191,108.42945580526423
192,108.3577225702801
193,108.28711715684851
194,108.2176218328617
195,108.14921914500387
196,108.081891914368
197,108.01562323214141
198,107.95039645535921
199,107.88619520272455
