frame,abstime,reltime,Function 3 [C]
2681,2024-03-11 22:37:36.792000,0.000000,1.108064e+02
2682,2024-03-11 22:37:37.793000,1.001000,1.107341e+02
2683,2024-03-11 22:37:38.794000,2.002000,1.107341e+02
2684,2024-03-11 22:37:39.795000,3.003000,1.118158e+02
2685,2024-03-11 22:37:40.797000,4.005000,1.148128e+02
2686,2024-03-11 22:37:41.798000,5.006000,1.168559e+02
2687,2024-03-11 22:37:42.799000,6.007000,1.168559e+02
2688,2024-03-11 22:37:43.799000,7.007000,1.172760e+02
2689,2024-03-11 22:37:44.800000,8.008000,1.211556e+02
2690,2024-03-11 22:37:45.800000,9.008000,1.298269e+02
2691,2024-03-11 22:37:46.802000,10.010000,8.430199e+01
2692,2024-03-11 22:37:47.802000,11.010000,8.853658e+01
2693,2024-03-11 22:37:48.804000,12.012000,9.306377e+01
2694,2024-03-11 22:37:49.803000,13.011000,9.330287e+01
2695,2024-03-11 22:37:50.805000,14.013000,9.322321e+01
2696,2024-03-11 22:37:51.805000,15.013000,9.747308e+01
2697,2024-03-11 22:37:52.806000,16.014000,1.951269e+02
2698,2024-03-11 22:37:53.807000,17.015000,1.946621e+02
2699,2024-03-11 22:37:54.808000,18.016000,1.941967e+02
2700,2024-03-11 22:37:55.776000,18.984000,1.940414e+02
2701,2024-03-11 22:37:56.777000,19.985000,1.925362e+02
2702,2024-03-11 22:37:57.779000,20.987000,1.914419e+02
2703,2024-03-11 22:37:58.779000,21.987000,1.911808e+02
2704,2024-03-11 22:37:59.780000,22.988000,1.895573e+02
2705,2024-03-11 22:38:00.781000,23.989000,1.893472e+02
2706,2024-03-11 22:38:01.782000,24.990000,1.879254e+02
2707,2024-03-11 22:38:02.782000,25.990000,1.876086e+02
2708,2024-03-11 22:38:03.782000,26.990000,1.864442e+02
2709,2024-03-11 22:38:04.783000,27.991000,1.858072e+02
2710,2024-03-11 22:38:05.785000,28.993000,1.850625e+02
2711,2024-03-11 22:38:06.786000,29.994000,1.848493e+02
2712,2024-03-11 22:38:07.787000,30.995000,1.831926e+02
2713,2024-03-11 22:38:08.786000,31.994000,1.826563e+02
2714,2024-03-11 22:38:09.788000,32.996000,1.822803e+02
2715,2024-03-11 22:38:10.085000,33.293000,1.786032e+02
2716,2024-03-11 22:38:11.757000,34.965000,1.790382e+02
2717,2024-03-11 22:38:12.759000,35.967000,1.781677e+02
2718,2024-03-11 22:38:13.759000,36.967000,1.775131e+02
2719,2024-03-11 22:38:14.761000,37.969000,1.771853e+02
2720,2024-03-11 22:38:15.761000,38.969000,1.764190e+02
2721,2024-03-11 22:38:16.763000,39.971000,1.757056e+02
2722,2024-03-11 22:38:17.762000,40.970000,1.744943e+02
2723,2024-03-11 22:38:18.764000,41.972000,1.736656e+02
2724,2024-03-11 22:38:19.765000,42.973000,1.723902e+02
2725,2024-03-11 22:38:20.766000,43.974000,1.726124e+02
2726,2024-03-11 22:38:21.767000,44.975000,1.718339e+02
2727,2024-03-11 22:38:22.767000,45.975000,1.704944e+02
2728,2024-03-11 22:38:23.767000,46.975000,1.699344e+02
2729,2024-03-11 22:38:24.769000,47.977000,1.692047e+02
2730,2024-03-11 22:38:25.771000,48.979000,1.685295e+02
